RefDes	TPs	Description	Parallel Capacitor	PartNr	Partition	FDCIO162	FDCIO164	Designator FDCIO162	Designator FDCIO164	Cell	Height	X_Cor	Y_Cor	Rotation	PlacementSide	Technology	PartListExclude
R214	TP209,TP212	A5Q00004552/002;1-RES_0603_10K_1%_0.1W_100PPM_CHIP SM x 20		A5Q00004552	Resistor	Unplaced		R209,R216-R217,R225,R233,R236,R304-R307	R204,R209,R213-R214,R216-R217,R225-R226,R233-R236,R304-R307,R318-R321	R0603	0.55	41.8	35.2	90	Bottom	SMD	
R215	TP201,TP221	A5Q00008516/01;1-RES_0402_100K_1%_0.063W_100PPM_CHIP SM x 21		A5Q00008516	Resistor			R205,R210-R211,R215,R220,R228,R231,R300,R302-R303,R312-R313	R201,R205-R206,R210-R211,R215,R219-R220,R227-R228,R231-R232,R300,R302-R303,R312-R313,R316-R317,R326-R327	R0402	0.4	28.5	36.3	90	Bottom	SMD	
R216	TP215,TP216	A5Q00004552/002;1-RES_0603_10K_1%_0.1W_100PPM_CHIP SM x 20		A5Q00004552	Resistor			R209,R216-R217,R225,R233,R236,R304-R307	R204,R209,R213-R214,R216-R217,R225-R226,R233-R236,R304-R307,R318-R321	R0603	0.55	16.8	35.1	90	Bottom	SMD	
R217	TP215,TP222	A5Q00004552/002;1-RES_0603_10K_1%_0.1W_100PPM_CHIP SM x 20		A5Q00004552	Resistor			R209,R216-R217,R225,R233,R236,R304-R307	R204,R209,R213-R214,R216-R217,R225-R226,R233-R236,R304-R307,R318-R321	R0603	0.55	19.3	37	180	Bottom	SMD	
R218	TP228,TP248	A5Q20001361/001;2-PTC_33V_1.5A_3A x 1		A5Q20001361	Resistor-PTC		Unplaced	R218	#N/A	F_PTC_8.0x5.5_COMB	1.25	62.8	23.8	270	Bottom	SMD	
R219	TP230,TP232	A5Q00008516/01;1-RES_0402_100K_1%_0.063W_100PPM_CHIP SM x 21		A5Q00008516	Resistor	Unplaced		R205,R210-R211,R215,R220,R228,R231,R300,R302-R303,R312-R313	R201,R205-R206,R210-R211,R215,R219-R220,R227-R228,R231-R232,R300,R302-R303,R312-R313,R316-R317,R326-R327	R0402	0.4	36.5	32.6	0	Top	SMD	
R220	TP229,TP231	A5Q00008516/01;1-RES_0402_100K_1%_0.063W_100PPM_CHIP SM x 21		A5Q00008516	Resistor			R205,R210-R211,R215,R220,R228,R231,R300,R302-R303,R312-R313	R201,R205-R206,R210-R211,R215,R219-R220,R227-R228,R231-R232,R300,R302-R303,R312-R313,R316-R317,R326-R327	R0402	0.4	22.1	32.7	180	Top	SMD	
R221	TP201,TP229	A5Q00008507/01;1-RES_MFILM_33K_OHM_1%_0.063W_0402_SMT x 4		A5Q00008507	Resistor			R203,R221	R200,R203,R221-R222	R0402	0.4	26.5	31.6	270	Bottom	SMD	
R222	TP230,TP201	A5Q00008507/01;1-RES_MFILM_33K_OHM_1%_0.063W_0402_SMT x 4		A5Q00008507	Resistor	Unplaced		R203,R221	R200,R203,R221-R222	R0402	0.4	32.2	30.5	0	Bottom	SMD	
R223	TP205,TP238	A5Q20002149/C;1-RES_MET_FLM_0.33R_+-2%_1W_0207MELF_SMD x 4		A5Q20002149	Resistor	Unplaced		R207,R224	R202,R207,R223-R224	R0207_MELF_6123	2.4	39.6	28.9	0	Top	SMD	
R224	TP205,TP237	A5Q20002149/C;1-RES_MET_FLM_0.33R_+-2%_1W_0207MELF_SMD x 4		A5Q20002149	Resistor			R207,R224	R202,R207,R223-R224	R0207_MELF_6123	2.4	19	28.8	180	Top	SMD	
R225	TP236,TP237	A5Q00004552/002;1-RES_0603_10K_1%_0.1W_100PPM_CHIP SM x 20		A5Q00004552	Resistor			R209,R216-R217,R225,R233,R236,R304-R307	R204,R209,R213-R214,R216-R217,R225-R226,R233-R236,R304-R307,R318-R321	R0603	0.55	19.56	31.2	180	Top	SMD	
R226	TP235,TP238	A5Q00004552/002;1-RES_0603_10K_1%_0.1W_100PPM_CHIP SM x 20		A5Q00004552	Resistor	Unplaced		R209,R216-R217,R225,R233,R236,R304-R307	R204,R209,R213-R214,R216-R217,R225-R226,R233-R236,R304-R307,R318-R321	R0603	0.55	39.3	31.2	0	Top	SMD	
R227	TP240,TP235	A5Q00008516/01;1-RES_0402_100K_1%_0.063W_100PPM_CHIP SM x 21		A5Q00008516	Resistor	Unplaced		R205,R210-R211,R215,R220,R228,R231,R300,R302-R303,R312-R313	R201,R205-R206,R210-R211,R215,R219-R220,R227-R228,R231-R232,R300,R302-R303,R312-R313,R316-R317,R326-R327	R0402	0.4	36.5	31.1	0	Top	SMD	
R228	TP239,TP236	A5Q00008516/01;1-RES_0402_100K_1%_0.063W_100PPM_CHIP SM x 21		A5Q00008516	Resistor			R205,R210-R211,R215,R220,R228,R231,R300,R302-R303,R312-R313	R201,R205-R206,R210-R211,R215,R219-R220,R227-R228,R231-R232,R300,R302-R303,R312-R313,R316-R317,R326-R327	R0402	0.4	22.1	31.2	180	Top	SMD	
R229	TP201,TP241	A5Q20000381/B;1-RES_CHIP_470R_+-1%_63mW_0402_SMD x 9		A5Q20000381	Resistor			R161,R208,R212,R229,R404-R405	R161,R208,R212,R229-R230,R402-R405	R0402	0.4	39.7	23.5	0	Top	SMD	
R230	TP242,TP201	A5Q20000381/B;1-RES_CHIP_470R_+-1%_63mW_0402_SMD x 9		A5Q20000381	Resistor	Unplaced		R161,R208,R212,R229,R404-R405	R161,R208,R212,R229-R230,R402-R405	R0402	0.4	45.6	23.5	0	Top	SMD	
R231	TP201,TP243	A5Q00008516/01;1-RES_0402_100K_1%_0.063W_100PPM_CHIP SM x 21		A5Q00008516	Resistor			R205,R210-R211,R215,R220,R228,R231,R300,R302-R303,R312-R313	R201,R205-R206,R210-R211,R215,R219-R220,R227-R228,R231-R232,R300,R302-R303,R312-R313,R316-R317,R326-R327	R0402	0.4	28.5	30.9	90	Bottom	SMD	
R232	TP244,TP201	A5Q00008516/01;1-RES_0402_100K_1%_0.063W_100PPM_CHIP SM x 21		A5Q00008516	Resistor	Unplaced		R205,R210-R211,R215,R220,R228,R231,R300,R302-R303,R312-R313	R201,R205-R206,R210-R211,R215,R219-R220,R227-R228,R231-R232,R300,R302-R303,R312-R313,R316-R317,R326-R327	R0402	0.4	30.1	31.6	270	Bottom	SMD	
R233	TP234,TP237	A5Q00004552/002;1-RES_0603_10K_1%_0.1W_100PPM_CHIP SM x 20		A5Q00004552	Resistor			R209,R216-R217,R225,R233,R236,R304-R307	R204,R209,R213-R214,R216-R217,R225-R226,R233-R236,R304-R307,R318-R321	R0603	0.55	16.8	32.7	270	Bottom	SMD	
R234	TP233,TP238	A5Q00004552/002;1-RES_0603_10K_1%_0.1W_100PPM_CHIP SM x 20		A5Q00004552	Resistor	Unplaced		R209,R216-R217,R225,R233,R236,R304-R307	R204,R209,R213-R214,R216-R217,R225-R226,R233-R236,R304-R307,R318-R321	R0603	0.55	41.8	32.7	270	Bottom	SMD	
R235	TP233,TP246	A5Q00004552/002;1-RES_0603_10K_1%_0.1W_100PPM_CHIP SM x 20		A5Q00004552	Resistor	Unplaced		R209,R216-R217,R225,R233,R236,R304-R307	R204,R209,R213-R214,R216-R217,R225-R226,R233-R236,R304-R307,R318-R321	R0603	0.55	39.3	30.8	0	Bottom	SMD	
R236	TP234,TP245	A5Q00004552/002;1-RES_0603_10K_1%_0.1W_100PPM_CHIP SM x 20		A5Q00004552	Resistor			R209,R216-R217,R225,R233,R236,R304-R307	R204,R209,R213-R214,R216-R217,R225-R226,R233-R236,R304-R307,R318-R321	R0603	0.55	19.3	30.7	180	Bottom	SMD	
R300	TP204,TP300	A5Q00008516/01;1-RES_0402_100K_1%_0.063W_100PPM_CHIP SM x 21		A5Q00008516	Resistor			R205,R210-R211,R215,R220,R228,R231,R300,R302-R303,R312-R313	R201,R205-R206,R210-R211,R215,R219-R220,R227-R228,R231-R232,R300,R302-R303,R312-R313,R316-R317,R326-R327	R0402	0.4	50	17.5	0	Top	SMD	
R301	TP300,TP201	A5Q20002257/C01;1-RES_CHIP_11K_+-1%_63mW_0402_THD x 6		A5Q20002257	Resistor			R301,R314-R315,R400	R301,R314-R315,R328-R329,R400	R0402	0.4	48.4	17.5	0	Top	SMD	
R302	TP301,TP201	A5Q00008516/01;1-RES_0402_100K_1%_0.063W_100PPM_CHIP SM x 21		A5Q00008516	Resistor			R205,R210-R211,R215,R220,R228,R231,R300,R302-R303,R312-R313	R201,R205-R206,R210-R211,R215,R219-R220,R227-R228,R231-R232,R300,R302-R303,R312-R313,R316-R317,R326-R327	R0402	0.4	55.5	55.1	180	Bottom	SMD	
R303	TP302,TP201	A5Q00008516/01;1-RES_0402_100K_1%_0.063W_100PPM_CHIP SM x 21		A5Q00008516	Resistor			R205,R210-R211,R215,R220,R228,R231,R300,R302-R303,R312-R313	R201,R205-R206,R210-R211,R215,R219-R220,R227-R228,R231-R232,R300,R302-R303,R312-R313,R316-R317,R326-R327	R0402	0.4	55.5	56.2	0	Bottom	SMD	
R304	TP303,TP204	A5Q00004552/002;1-RES_0603_10K_1%_0.1W_100PPM_CHIP SM x 20		A5Q00004552	Resistor			R209,R216-R217,R225,R233,R236,R304-R307	R204,R209,R213-R214,R216-R217,R225-R226,R233-R236,R304-R307,R318-R321	R0603	0.55	58.5	61	0	Top	SMD	
R305	TP303,TP305	A5Q00004552/002;1-RES_0603_10K_1%_0.1W_100PPM_CHIP SM x 20		A5Q00004552	Resistor			R209,R216-R217,R225,R233,R236,R304-R307	R204,R209,R213-R214,R216-R217,R225-R226,R233-R236,R304-R307,R318-R321	R0603	0.55	55.9	61	0	Top	SMD	
R306	TP204,TP304	A5Q00004552/002;1-RES_0603_10K_1%_0.1W_100PPM_CHIP SM x 20		A5Q00004552	Resistor			R209,R216-R217,R225,R233,R236,R304-R307	R204,R209,R213-R214,R216-R217,R225-R226,R233-R236,R304-R307,R318-R321	R0603	0.55	58.5	64.9	180	Bottom	SMD	
R307	TP304,TP306	A5Q00004552/002;1-RES_0603_10K_1%_0.1W_100PPM_CHIP SM x 20		A5Q00004552	Resistor			R209,R216-R217,R225,R233,R236,R304-R307	R204,R209,R213-R214,R216-R217,R225-R226,R233-R236,R304-R307,R318-R321	R0603	0.55	58.5	66.3	0	Bottom	SMD	
R308	TP307,TP309	A5Q20011213/A;1-RES_CHIP_1.5K_+-1%_1W_2512_SMD x 4		A5Q20011213	Resistor			R308-R309	R308-R309,R322-R323	R2512	0.7	62.8	66.1	270	Bottom	SMD	
R309	TP308,TP310	A5Q20011213/A;1-RES_CHIP_1.5K_+-1%_1W_2512_SMD x 4		A5Q20011213	Resistor			R308-R309	R308-R309,R322-R323	R2512	0.7	62.8	56.1	90	Bottom	SMD	
R310	TP309,TP311	A5Q20002242/A;1-RES_CHIP_330R_+-1%_1W_2512_SMD x 4		A5Q20002242	Resistor			R310-R311	R310-R311,R324-R325	R2512	0.7	62.1	66.1	270	Top	SMD	
R311	TP310,TP312	A5Q20002242/A;1-RES_CHIP_330R_+-1%_1W_2512_SMD x 4		A5Q20002242	Resistor			R310-R311	R310-R311,R324-R325	R2512	0.7	62.1	56.1	90	Top	SMD	
R312	TP309,TP313	A5Q00008516/01;1-RES_0402_100K_1%_0.063W_100PPM_CHIP SM x 21		A5Q00008516	Resistor			R205,R210-R211,R215,R220,R228,R231,R300,R302-R303,R312-R313	R201,R205-R206,R210-R211,R215,R219-R220,R227-R228,R231-R232,R300,R302-R303,R312-R313,R316-R317,R326-R327	R0402	0.4	42.46	17.01	180	Top	SMD	
R313	TP310,TP314	A5Q00008516/01;1-RES_0402_100K_1%_0.063W_100PPM_CHIP SM x 21		A5Q00008516	Resistor			R205,R210-R211,R215,R220,R228,R231,R300,R302-R303,R312-R313	R201,R205-R206,R210-R211,R215,R219-R220,R227-R228,R231-R232,R300,R302-R303,R312-R313,R316-R317,R326-R327	R0402	0.4	39.3	18.9	180	Bottom	SMD	
R314	TP313,TP201	A5Q20002257/C01;1-RES_CHIP_11K_+-1%_63mW_0402_THD x 6		A5Q20002257	Resistor			R301,R314-R315,R400	R301,R314-R315,R328-R329,R400	R0402	0.4	40.3	17	0	Top	SMD	
R315	TP314,TP201	A5Q20002257/C01;1-RES_CHIP_11K_+-1%_63mW_0402_THD x 6		A5Q20002257	Resistor			R301,R314-R315,R400	R301,R314-R315,R328-R329,R400	R0402	0.4	39.3	17.7	0	Bottom	SMD	
R316	TP315,TP201	A5Q00008516/01;1-RES_0402_100K_1%_0.063W_100PPM_CHIP SM x 21		A5Q00008516	Resistor	Unplaced		R205,R210-R211,R215,R220,R228,R231,R300,R302-R303,R312-R313	R201,R205-R206,R210-R211,R215,R219-R220,R227-R228,R231-R232,R300,R302-R303,R312-R313,R316-R317,R326-R327	R0402	0.4	55.5	36.7	180	Bottom	SMD	
R317	TP316,TP201	A5Q00008516/01;1-RES_0402_100K_1%_0.063W_100PPM_CHIP SM x 21		A5Q00008516	Resistor	Unplaced		R205,R210-R211,R215,R220,R228,R231,R300,R302-R303,R312-R313	R201,R205-R206,R210-R211,R215,R219-R220,R227-R228,R231-R232,R300,R302-R303,R312-R313,R316-R317,R326-R327	R0402	0.4	55.5	37.8	180	Bottom	SMD	
R318	TP204,TP317	A5Q00004552/002;1-RES_0603_10K_1%_0.1W_100PPM_CHIP SM x 20		A5Q00004552	Resistor	Unplaced		R209,R216-R217,R225,R233,R236,R304-R307	R204,R209,R213-R214,R216-R217,R225-R226,R233-R236,R304-R307,R318-R321	R0603	0.55	58.5	42.6	0	Top	SMD	
R319	TP317,TP319	A5Q00004552/002;1-RES_0603_10K_1%_0.1W_100PPM_CHIP SM x 20		A5Q00004552	Resistor	Unplaced		R209,R216-R217,R225,R233,R236,R304-R307	R204,R209,R213-R214,R216-R217,R225-R226,R233-R236,R304-R307,R318-R321	R0603	0.55	55.9	42.6	0	Top	SMD	
R320	TP204,TP318	A5Q00004552/002;1-RES_0603_10K_1%_0.1W_100PPM_CHIP SM x 20		A5Q00004552	Resistor	Unplaced		R209,R216-R217,R225,R233,R236,R304-R307	R204,R209,R213-R214,R216-R217,R225-R226,R233-R236,R304-R307,R318-R321	R0603	0.55	58.9	46.6	180	Bottom	SMD	
R321	TP318,TP320	A5Q00004552/002;1-RES_0603_10K_1%_0.1W_100PPM_CHIP SM x 20		A5Q00004552	Resistor	Unplaced		R209,R216-R217,R225,R233,R236,R304-R307	R204,R209,R213-R214,R216-R217,R225-R226,R233-R236,R304-R307,R318-R321	R0603	0.55	58.9	48.2	0	Bottom	SMD	
R322	TP321,TP323	A5Q20011213/A;1-RES_CHIP_1.5K_+-1%_1W_2512_SMD x 4		A5Q20011213	Resistor	Unplaced		R308-R309	R308-R309,R322-R323	R2512	0.7	62.8	47.4	270	Bottom	SMD	
R323	TP322,TP324	A5Q20011213/A;1-RES_CHIP_1.5K_+-1%_1W_2512_SMD x 4		A5Q20011213	Resistor	Unplaced		R308-R309	R308-R309,R322-R323	R2512	0.7	62.8	37.7	90	Bottom	SMD	
R324	TP323,TP325	A5Q20002242/A;1-RES_CHIP_330R_+-1%_1W_2512_SMD x 4		A5Q20002242	Resistor	Unplaced		R310-R311	R310-R311,R324-R325	R2512	0.7	62.1	47.7	270	Top	SMD	
R325	TP324,TP326	A5Q20002242/A;1-RES_CHIP_330R_+-1%_1W_2512_SMD x 4		A5Q20002242	Resistor	Unplaced		R310-R311	R310-R311,R324-R325	R2512	0.7	62.1	37.7	90	Top	SMD	
R326	TP323,TP327	A5Q00008516/01;1-RES_0402_100K_1%_0.063W_100PPM_CHIP SM x 21		A5Q00008516	Resistor	Unplaced		R205,R210-R211,R215,R220,R228,R231,R300,R302-R303,R312-R313	R201,R205-R206,R210-R211,R215,R219-R220,R227-R228,R231-R232,R300,R302-R303,R312-R313,R316-R317,R326-R327	R0402	0.4	43.8	17.9	0	Top	SMD	
R327	TP324,TP328	A5Q00008516/01;1-RES_0402_100K_1%_0.063W_100PPM_CHIP SM x 21		A5Q00008516	Resistor	Unplaced		R205,R210-R211,R215,R220,R228,R231,R300,R302-R303,R312-R313	R201,R205-R206,R210-R211,R215,R219-R220,R227-R228,R231-R232,R300,R302-R303,R312-R313,R316-R317,R326-R327	R0402	0.4	52.4	18.6	0	Bottom	SMD	
R328	TP327,TP201	A5Q20002257/C01;1-RES_CHIP_11K_+-1%_63mW_0402_THD x 6		A5Q20002257	Resistor	Unplaced		R301,R314-R315,R400	R301,R314-R315,R328-R329,R400	R0402	0.4	41.9	17.9	0	Top	SMD	
R329	TP328,TP201	A5Q20002257/C01;1-RES_CHIP_11K_+-1%_63mW_0402_THD x 6		A5Q20002257	Resistor	Unplaced		R301,R314-R315,R400	R301,R314-R315,R328-R329,R400	R0402	0.4	52.4	19.6	180	Bottom	SMD	
R400	TP204,TP400	A5Q20002257/C01;1-RES_CHIP_11K_+-1%_63mW_0402_THD x 6		A5Q20002257	Resistor			R301,R314-R315,R400	R301,R314-R315,R328-R329,R400	R0402	0.4	38.76	11.32	270	Top	SMD	
R401	TP154,TP401	A5Q00008501/01;1-RES_0402_47K_1%_0.063W_100PPM_CHIP SM x 3		A5Q00008501	Resistor			R112,R160,R401	R112,R160,R401	R0402	0.4	54.500049	18	0	Bottom	SMD	
R402	TP407,TP408	A5Q20000381/B;1-RES_CHIP_470R_+-1%_63mW_0402_SMD x 9		A5Q20000381	Resistor	Unplaced		R161,R208,R212,R229,R404-R405	R161,R208,R212,R229-R230,R402-R405	R0402	0.4	33.6	23.5	0	Top	SMD	
R403	TP409,TP410	A5Q20000381/B;1-RES_CHIP_470R_+-1%_63mW_0402_SMD x 9		A5Q20000381	Resistor	Unplaced		R161,R208,R212,R229,R404-R405	R161,R208,R212,R229-R230,R402-R405	R0402	0.4	30.7	23.5	0	Top	SMD	
R404	TP411,TP412	A5Q20000381/B;1-RES_CHIP_470R_+-1%_63mW_0402_SMD x 9		A5Q20000381	Resistor			R161,R208,R212,R229,R404-R405	R161,R208,R212,R229-R230,R402-R405	R0402	0.4	27.7	23.5	0	Top	SMD	
R405	TP413,TP414	A5Q20000381/B;1-RES_CHIP_470R_+-1%_63mW_0402_SMD x 9		A5Q20000381	Resistor			R161,R208,R212,R229,R404-R405	R161,R208,R212,R229-R230,R402-R405	R0402	0.4	24.7	23.5	0	Top	SMD	
R406	TP416,TP150	A5Q00008479/01;1-RES_MFILM_100R_1%_0.063W_100PPM_0402_SMT x 2		A5Q00008479	Resistor			R163,R406	R163,R406	R0402	0.4	43.7	14.2	0	Top	SMD	
V110	TP113,TP115,TP112	A5Q20002461/A;1-TRANS_NPN_BC846B_65V_100mA_SOT-023-3_SMD x 2		A5Q20002461	Transistor			V110,V157	V110,V157	SOT23	1.1	18	59.2	0	Bottom	SMD	
V120	TP118,TP127,TP106	A5Q00020517/01;1-TRANSISTOR_BIPOLOR_NPN_45V_500MA_ x 1		A5Q00020517	Transistor			V120	V120	SOT23	1.1	23.7	52.5	90	Bottom	SMD	
V140	TP130,TP131	A5Q00024825/01;1-DIO_SIGNAL_MBD4148_100V_150mA_SOT-023_SM x 1		A5Q00024825	Diode			V140	V140	SOT23	1.3	27.3	52.5	90	Bottom	SMD	
V141	TP146,TP148,TP131	A5Q00000584/01;1-TRANSISTOR_ENH-N_100V_170MA_6OHM_ x 1		A5Q00000584	Mosfet			V141	V141	SOT23	1.1	33.8	51.3	270	Bottom	SMD	
V142	TP106,TP146	A5Q00007861/01;1-DIO_ZENER_BZX84_12V_+-2%_SOT-023_SMD x 2		A5Q00007861	Diode			V142,V401	V142,V401	SOT23	1.26	33.8	55.5	270	Bottom	SMD	
V150	TP102,TP101	A5Q00004550/01;1-DIODE_RECTIFIER_1.1V@1A_1000V_SM_SMA x 2		A5Q00004550	Diode			V150,V152	V150,V152	DO214AC_SMA	2.65	13.5	48.9	0	Top	SMD	
V151	TP106,TP101	A5Q00004548/01;1-DIO_PROT-UNI-DIR_TVS_36V_100A_SMB_SMD x 9		A5Q00004548	Diode			V151,V217,V224,V304-V305	V151,V214,V217,V224-V225,V304-V307	DO214AA_SMB	2.65	13.5	57.3	180	Top	SMD	
V152	TP100,TP101	A5Q00004550/01;1-DIODE_RECTIFIER_1.1V@1A_1000V_SM_SMA x 2		A5Q00004550	Diode			V150,V152	V150,V152	DO214AC_SMA	2.65	13.5	53	0	Top	SMD	
V157	TP103,TP111,TP106	A5Q20002461/A;1-TRANS_NPN_BC846B_65V_100mA_SOT-023-3_SMD x 2		A5Q20002461	Transistor			V110,V157	V110,V157	SOT23	1.1	19.3	59	180	Top	SMD	
V200	TP205,TP217,TP210,TP205,TP236,TP231	A5Q20008929/A;1-TRANS_PNP_ARRAY_60V_100mA_SOT-563_SMD x 2		A5Q20008929	Transistor			V200	V200-V201	SOT563	0.6	26.2	33.9	270	Top	SMD	
V201	TP205,TP211,TP207,TP205,TP235,TP232	A5Q20008929/A;1-TRANS_PNP_ARRAY_60V_100mA_SOT-563_SMD x 2		A5Q20008929	Transistor	Unplaced		V200	V200-V201	SOT563	0.6	32.4	33.9	90	Top	SMD	
V202	TP208,TP201,TP219,TP221,TP201,TP222	A5Q20008390/A;1-TRANS_FET_E_N_60V_73mA_13.5R_SOT-363_SMD x 6		A5Q20008390	Mosfet			V202-V204,V300	V202-V205,V300-V301	SOT363_NoMARK	1.1	27.5	36.6	90	Top	SMD	
V203	TP229,TP201,TP239,TP243,TP201,TP245	A5Q20008390/A;1-TRANS_FET_E_N_60V_73mA_13.5R_SOT-363_SMD x 6		A5Q20008390	Mosfet			V202-V204,V300	V202-V205,V300-V301	SOT363_NoMARK	1.1	27.5	31.2	90	Top	SMD	
V204	TP206,TP201,TP213,TP218,TP201,TP225	A5Q20008390/A;1-TRANS_FET_E_N_60V_73mA_13.5R_SOT-363_SMD x 6		A5Q20008390	Mosfet			V202-V204,V300	V202-V205,V300-V301	SOT363_NoMARK	1.1	31.1	36.6	270	Top	SMD	
V205	TP230,TP201,TP240,TP244,TP201,TP246	A5Q20008390/A;1-TRANS_FET_E_N_60V_73mA_13.5R_SOT-363_SMD x 6		A5Q20008390	Mosfet	Unplaced		V202-V204,V300	V202-V205,V300-V301	SOT363_NoMARK	1.1	31.1	31.2	270	Top	SMD	
V206	TP202,TP201	A5Q00002104/01;1-SURGE PROTECTOR_DIODE_BIDIRECTIONAL_ x 1		A5Q00002104	Diode			V206	V206	DO214AA_SMB_BI	2.65	20.5	8.1	0	Bottom	SMD	
V207	TP203,TP204	A5Q00009208/01;1-DIODE_SCHOTTKY_SS26_2A_60V_SMB_DO214AA_ x 1		A5Q00009208	Diode			V207	V207	DO214AA_SMB	2.65	34.7	9.1	90	Bottom	SMD	
V208	TP203,TP205	A5Q20000905/A;1-DIO_RECTIFIER_MURS320_3A_200V_SMC_SMD x 1		A5Q20000905	Diode			V208	V208	DO214AB_SMC	2.65	28.8	9.6	90	Bottom	SMD	
V209	TP206,TP154	A5Q20002984/01;1-DIO_SCHOTTKY_SD101_60V_+-1%_15mA_SOD-123 x 8		A5Q20002984	Diode	Unplaced		V211-V212,V218,V220	V209-V212,V218-V221	SOD123	1.45	32.2	39.1	180	Top	SMD	
V210	TP207,TP209	A5Q20002984/01;1-DIO_SCHOTTKY_SD101_60V_+-1%_15mA_SOD-123 x 8		A5Q20002984	Diode	Unplaced		V211-V212,V218,V220	V209-V212,V218-V221	SOD123	1.45	38.1	35.1	0	Bottom	SMD	
V211	TP208,TP249	A5Q20002984/01;1-DIO_SCHOTTKY_SD101_60V_+-1%_15mA_SOD-123 x 8		A5Q20002984	Diode			V211-V212,V218,V220	V209-V212,V218-V221	SOD123	1.45	26.2	39.1	0	Top	SMD	
V212	TP210,TP215	A5Q20002984/01;1-DIO_SCHOTTKY_SD101_60V_+-1%_15mA_SOD-123 x 8		A5Q20002984	Diode			V211-V212,V218,V220	V209-V212,V218-V221	SOD123	1.45	20.5	35.1	180	Bottom	SMD	
V213	TP209,TP212,TP223,TP233,TP238,TP248	A5Q20008391/A;1-TRANS_FET_E_P_60V_-2.6_0.08R_SO-8_SMD x 2		A5Q20008391	Mosfet	Unplaced		V215	V213,V215	SO-8_POWERPAK_DUAL_2	1.2	45.5	33.9	270	Top	SMD	
V214	TP201,TP223	A5Q00004548/01;1-DIO_PROT-UNI-DIR_TVS_36V_100A_SMB_SMD x 9		A5Q00004548	Diode	Unplaced		V151,V217,V224,V304-V305	V151,V214,V217,V224-V225,V304-V307	DO214AA_SMB	2.65	48.5	37.7	270	Bottom	SMD	
V215	TP215,TP216,TP224,TP234,TP237,TP247	A5Q20008391/A;1-TRANS_FET_E_P_60V_-2.6_0.08R_SO-8_SMD x 2		A5Q20008391	Mosfet			V215	V213,V215	SO-8_POWERPAK_DUAL_2	1.2	13.4	33.9	90	Top	SMD	
V216	TP225,TP226	A5Q00004547/01;1-DIODE_SWITCHING_75V_200MA_SM_SOT-23 x 1		A5Q00004547	Diode		Unplaced	V216	#N/A	SOT23	1.15	60.1	32.1	270	Bottom	SMD	
V217	TP201,TP224	A5Q00004548/01;1-DIO_PROT-UNI-DIR_TVS_36V_100A_SMB_SMD x 9		A5Q00004548	Diode			V151,V217,V224,V304-V305	V151,V214,V217,V224-V225,V304-V307	DO214AA_SMB	2.65	10.1	37.7	270	Bottom	SMD	
V218	TP229,TP154	A5Q20002984/01;1-DIO_SCHOTTKY_SD101_60V_+-1%_15mA_SOD-123 x 8		A5Q20002984	Diode			V211-V212,V218,V220	V209-V212,V218-V221	SOD123	1.45	26.2	28.6	0	Top	SMD	
V219	TP230,TP154	A5Q20002984/01;1-DIO_SCHOTTKY_SD101_60V_+-1%_15mA_SOD-123 x 8		A5Q20002984	Diode	Unplaced		V211-V212,V218,V220	V209-V212,V218-V221	SOD123	1.45	32.4	28.6	180	Top	SMD	
V220	TP231,TP234	A5Q20002984/01;1-DIO_SCHOTTKY_SD101_60V_+-1%_15mA_SOD-123 x 8		A5Q20002984	Diode			V211-V212,V218,V220	V209-V212,V218-V221	SOD123	1.45	20.5	32.7	180	Bottom	SMD	
V221	TP232,TP233	A5Q20002984/01;1-DIO_SCHOTTKY_SD101_60V_+-1%_15mA_SOD-123 x 8		A5Q20002984	Diode	Unplaced		V211-V212,V218,V220	V209-V212,V218-V221	SOD123	1.45	38.1	32.7	0	Bottom	SMD	
V224	TP201,TP247	A5Q00004548/01;1-DIO_PROT-UNI-DIR_TVS_36V_100A_SMB_SMD x 9		A5Q00004548	Diode			V151,V217,V224,V304-V305	V151,V214,V217,V224-V225,V304-V307	DO214AA_SMB	2.65	10.1	30.1	90	Bottom	SMD	
V225	TP201,TP248	A5Q00004548/01;1-DIO_PROT-UNI-DIR_TVS_36V_100A_SMB_SMD x 9		A5Q00004548	Diode	Unplaced		V151,V217,V224,V304-V305	V151,V214,V217,V224-V225,V304-V307	DO214AA_SMB	2.65	48.5	30.1	90	Bottom	SMD	
V300	TP301,TP201,TP305,TP302,TP201,TP306	A5Q20008390/A;1-TRANS_FET_E_N_60V_73mA_13.5R_SOT-363_SMD x 6		A5Q20008390	Mosfet			V202-V204,V300	V202-V205,V300-V301	SOT363_NoMARK	1.1	55.9	60.9	0	Bottom	SMD	
V301	TP316,TP201,TP320,TP315,TP201,TP319	A5Q20008390/A;1-TRANS_FET_E_N_60V_73mA_13.5R_SOT-363_SMD x 6		A5Q20008390	Mosfet	Unplaced		V202-V204,V300	V202-V205,V300-V301	SOT363_NoMARK	1.1	55.9	42.6	0	Bottom	SMD	
V302	TP303,TP204,TP307,TP304,TP204,TP308	A5Q20008932/A;1-TRANS_FET_E_P_60V_500mA_4R_SC-89_SMD x 2		A5Q20008932	Mosfet			V302	V302-V303	SOT563	0.6	59	61	180	Bottom	SMD	
