RefDes	TPs	Description	Parallel Capacitor	PartNr	Partition
C408	TP???,TP201	A5Q00008473/01;1-CAP_CER CHIP_100PF_5%_50V_COG_SM_0402 x 7		A5Q00008473	Capacitor
D160	TP???,TP???	A5Q20001883/A;1-IC_16-Bit_MSP430F5172_1.8V-3.6V_QFN-40_S x 1		A5Q20001883	IC
D400	TP???,TP???	A5Q20008089/B;1-IC_16-Bit_1.8V-3.6V_VQFN-032_SMD x 1		A5Q20008089	IC
F200	TP200,TP202	A5Q20009670/A;1-FUSE_OTHER_T_5A_125V_50A_PCB x 1		A5Q20009670	Fuse
H160	TP114,TP116	A5Q00004063/002;1-DIODE_LED_(INCL. LASER / IR..)_RED_ x 9		A5Q00004063	LED
H200	TP214,TP218	A5Q00004063/002;1-DIODE_LED_(INCL. LASER / IR..)_RED_ x 9		A5Q00004063	LED
H201	TP220,TP221	A5Q00004063/002;1-DIODE_LED_(INCL. LASER / IR..)_RED_ x 9		A5Q00004063	LED
H202	TP241,TP243	A5Q00004063/002;1-DIODE_LED_(INCL. LASER / IR..)_RED_ x 9		A5Q00004063	LED
H402	TP154,TP411	A5Q00004063/002;1-DIODE_LED_(INCL. LASER / IR..)_RED_ x 9		A5Q00004063	LED
H403	TP154,TP413	A5Q00004063/002;1-DIODE_LED_(INCL. LASER / IR..)_RED_ x 9		A5Q00004063	LED
N140	TP???,TP???	A5Q20007790/C;1-IC_REG_LIN_SOT-23-5_SMD x 2		A5Q20007790	IC
N160	TP???,TP???	A5Q20008354/A;1-IC_OTHER_2.5V-5.5V_max 25Mbps_SO-08_SMD x 1		A5Q20008354	IC
N400	TP???,TP???	A5Q20007790/C;1-IC_REG_LIN_SOT-23-5_SMD x 2		A5Q20007790	IC
R110	TP???,TP???	A5Q20001692/B;1-RES_CHIP_10R_+-1%_500mW_1206_SMD x 1		A5Q20001692	Resistor
R111	TP???,TP???	A5Q00027041/01;1-RES_0402_4.7K_1%_0.063W_100PPM_CHIP SM x 1		A5Q00027041	Resistor
R112	TP???,TP???	A5Q00008501/01;1-RES_0402_47K_1%_0.063W_100PPM_CHIP SM x 3		A5Q00008501	Resistor
R120	TP???,TP???	A5Q00004646/01;1-RES_CHIP_100R_+-1%_250mW_1206_SMD x 1		A5Q00004646	Resistor
R121	TP???,TP???	A5Q00008476/01;1-RES_MFILM_1K_1%_0.063W_100PPM_0402_SMT x 1		A5Q00008476	Resistor
R131	TP129,TP113	A5Q00004556/01;1-RES_MET_FLM_2M74_+-1%_250mW_0204MELF_SMD x 1		A5Q00004556	Resistor
R132	TP106,TP129	A5Q00004631/01;1-RES_MET_FLM_237K_+-1%_250mW_0204MELF_SMD x 1		A5Q00004631	Resistor
R140	TP113,TP130	A5Q20007520/A;1-RES_THK_FLM_510R_+-1%_500mW_1206_SMD x 1		A5Q20007520	Resistor
R141	TP131,TP142	A5Q00015038/01;1-RES_MFILM_2.7M_OHM_1%_0.1W_0603_SMT x 2		A5Q00015038	Resistor
R142	TP106,TP142	A5Q00008515/01;1-RES_0402_220K_1%_0.063W_100PPM_CHIP SM x 2		A5Q00008515	Resistor
R143	TP131,TP146	A5Q00015038/01;1-RES_MFILM_2.7M_OHM_1%_0.1W_0603_SMT x 2		A5Q00015038	Resistor
R144	TP147,TP148	A5Q00008482/01;1-RES_0402_1M_1%_0.063W_100PPM x 2		A5Q00008482	Resistor
R145	TP106,TP147	A5Q20000411/C;1-RES_CHIP_180K_+-1%_63mW_0402_SMD x 1		A5Q20000411	Resistor
R154	TP103,TP105	A5Q00027042/01;1-RES_0402_10K_1%_0.063W_100PPM_CHIP SM x 2		A5Q00027042	Resistor
R155	TP103,TP107	A5Q00027042/01;1-RES_0402_10K_1%_0.063W_100PPM_CHIP SM x 2		A5Q00027042	Resistor
R156	TP103,TP148	A5Q00008515/01;1-RES_0402_220K_1%_0.063W_100PPM_CHIP SM x 2		A5Q00008515	Resistor
R157	TP111,TP148	A5Q00008482/01;1-RES_0402_1M_1%_0.063W_100PPM x 2		A5Q00008482	Resistor
R160	TP104,TP151	A5Q00008501/01;1-RES_0402_47K_1%_0.063W_100PPM_CHIP SM x 3		A5Q00008501	Resistor
R161	TP151,TP114	A5Q20000381/B;1-RES_CHIP_470R_+-1%_63mW_0402_SMD x 9		A5Q20000381	Resistor
R163	TP153,TP149	A5Q00008479/01;1-RES_MFILM_100R_1%_0.063W_100PPM_0402_SMT x 2		A5Q00008479	Resistor
R203	TP250,TP208	A5Q00008507/01;1-RES_MFILM_33K_OHM_1%_0.063W_0402_SMT x 4		A5Q00008507	Resistor
R205	TP208,TP210	A5Q00008516/01;1-RES_0402_100K_1%_0.063W_100PPM_CHIP SM x 21		A5Q00008516	Resistor
